Kingdom	Phylum	Class	Order	Family	Genus	Species	NCBI_tax_id	Patient_ASD	Patient_9	Patient_7	Patient_6	Patient_5	Patient_4	Patient_3	Patient_2	Patient_1	Patient_11
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	NA	NA	2|201174|1760|85007|1653	0	0	0	0.07351	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	NA	2|201174|1760|85007|1653|1716	0	0	0	0.07351	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	durum	2|201174|1760|85007|1653|1716|61592	0	0	0	0.07351	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	NA	NA	NA	2|201174|1760|85009	0	0	0	0	0.00431	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	NA	NA	2|201174|1760|85009|31957	0	0	0	0	0.00431	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	NA	2|201174|1760|85009|31957|1743	0	0	0	0	0.00431	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	freudenreichii	2|201174|1760|85009|31957|1743|1744	0	0	0	0	0.00431	0	0	0	0	0
Bacteria	Actinobacteria	Coriobacteriia	NA	NA	NA	NA	2|201174|84998	3.23541	3.85891	2.13338	5.18192	2.15002	12.24139	2.37327	1.70904	4.35871	4.59393
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	NA	NA	NA	2|201174|84998|84999	2.8837	3.29914	1.86832	0	0	10.53796	1.17765	0	3.26649	3.84046
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	NA	NA	2|201174|84998|84999|84107	2.8837	3.29914	1.86832	0	0	10.53796	1.17765	0	3.26649	3.84046
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA	2|201174|84998|84999|84107|102106	2.8837	3.29914	1.86832	0	0	10.53796	1.17765	0	3.26649	3.84046
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	aerofaciens	2|201174|84998|84999|84107|102106|74426	2.8837	3.29914	1.86832	0	0	10.52833	1.17765	0	3.26649	3.83901
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	stercoris	2|201174|84998|84999|84107|102106|147206	0	0	0	0	0	0.00963	0	0	0	0.00145
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	NA	NA	NA	2|201174|84998|1643822	0.35171	0.55976	0.26506	5.18192	2.15002	1.70342	1.19563	1.70904	1.09222	0.75347
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	NA	NA	2|201174|84998|1643822|1643826	0.35171	0.55976	0.26506	5.18192	2.15002	1.70342	1.19563	1.70904	1.09222	0.75347
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia	NA	2|201174|84998|1643822|1643826|447020	0	0.15706	0.00399	0.58152	0	0.42453	0.03675	0	0.05115	0.19267
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia	equolifaciens	2|201174|84998|1643822|1643826|447020|446660	0	0.15706	0.00399	0.58152	0	0.42453	0.03675	0	0.05115	0.19267
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Asaccharobacter	NA	2|201174|84998|1643822|1643826|553372	0	0.25736	0.02478	1.07509	0	0.88308	0.07219	0	0.23351	0.11717
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Asaccharobacter	celatus	2|201174|84998|1643822|1643826|553372|394340	0	0.25736	0.02478	1.07509	0	0.88308	0.07219	0	0.23351	0.11717
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	NA	2|201174|84998|1643822|1643826|84111	0.33618	0	0.18068	1.83589	1.98036	0.12233	0.36934	1.4496	0.08002	0.31392
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	lenta	2|201174|84998|1643822|1643826|84111|84112	0.33618	0	0.18068	1.83589	1.98036	0.12233	0.36934	1.4496	0.08002	0.31392
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Enterorhabdus	NA	2|201174|84998|1643822|1643826|580024	0	0	0	0.01521	0	0.00072	0	0	0	0
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Enterorhabdus	caecimuris	2|201174|84998|1643822|1643826|580024|671266	0	0	0	0.01521	0	0.00072	0	0	0	0
