#mpa_v30_CHOCOPhlAn_201901
#/Users/shalvichirmade/miniconda3/envs/mpa/bin/metaphlan N_S002_9_S57_merged.fastq.gz --input_type fastq --bowtie2db /Users/shalvichirmade/Documents/MBinf/BINF 6999/Weston Project.nosync/MetaPhlan 3.0 --nproc 2
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.99128	
k__Archaea	2157	0.00872	
k__Bacteria|p__Bacteroidetes	2|976	68.64541	
k__Bacteria|p__Firmicutes	2|1239	27.27544	
k__Bacteria|p__Actinobacteria	2|201174	4.05716	
k__Bacteria|p__Proteobacteria	2|1224	0.01326	
k__Archaea|p__Euryarchaeota	2157|28890	0.00872	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	68.64541	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	24.74006	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.59399	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.60533	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	1.46317	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.43144	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.31891	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.1797	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.01326	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.00872	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	68.64541	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	24.74006	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	2.3633	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	1.60533	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	1.46317	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.43144	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.31891	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.23069	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.1797	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.01326	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.00872	
